Model,Accuracy,Precision,Recall,F1,AUC,MCC
xgboost,0.9054517306203693,0.6267166042446941,0.47448015122873344,0.5400753093060785,0.9287471902065902,0.4943834133466639
random_forest,0.9051199823067566,0.6865671641791045,0.34782608695652173,0.4617314930991217,0.9271269499877486,0.444809417093706
logistic,0.8457370341700763,0.41824357108199905,0.8147448015122873,0.5527412632253927,0.9079218714674134,0.5092183435255142
knn,0.8961627778392126,0.5990016638935108,0.34026465028355385,0.43399638336347196,0.8277209275898927,0.40012752249162636
naive_bayes,0.8548048214088245,0.4059040590405904,0.5198487712665406,0.45586406962287607,0.8100945416322902,0.37735837569864067
decision_tree,0.8785801172177374,0.47995991983967934,0.45274102079395084,0.4659533073929961,0.6938720758321665,0.39773815543646973
